#from http://www.ncbi.nlm.nih.gov/projects/genome/assembly/grc/human/data/index.shtml
1	249,250,621	CM000663.1	NC_000001.10
2	243,199,373	CM000664.1	NC_000002.11
3	198,022,430	CM000665.1	NC_000003.11
4	191,154,276	CM000666.1	NC_000004.11
5	180,915,260	CM000667.1	NC_000005.9
6	171,115,067	CM000668.1	NC_000006.11
7	159,138,663	CM000669.1	NC_000007.13
8	146,364,022	CM000670.1	NC_000008.10
9	141,213,431	CM000671.1	NC_000009.11
10	135,534,747	CM000672.1	NC_000010.10
11	135,006,516	CM000673.1	NC_000011.9
12	133,851,895	CM000674.1	NC_000012.11
13	115,169,878	CM000675.1	NC_000013.10
14	107,349,540	CM000676.1	NC_000014.8
15	102,531,392	CM000677.1	NC_000015.9
16	90,354,753	CM000678.1	NC_000016.9
17	81,195,210	CM000679.1	NC_000017.10
18	78,077,248	CM000680.1	NC_000018.9
19	59,128,983	CM000681.1	NC_000019.9
20	63,025,520	CM000682.1	NC_000020.10
21	48,129,895	CM000683.1	NC_000021.8
22	51,304,566	CM000684.1	NC_000022.10
X	155,270,560	CM000685.1	NC_000023.10
Y	59,373,566	CM000686.1	NC_000024.9
